name,address,address_line_2,city,province,postal_code,latitude,longitude,phone,email,fuel_brand,price_zone,available_fuel_types,fuel_prices_petrol_95,fuel_prices_petrol_93,fuel_prices_diesel_50ppm,fuel_prices_diesel_500ppm,other_offerings,contact_1_name,contact_1_surname,contact_1_email,contact_1_office_phone,contact_1_mobile_phone,contact_2_name,contact_2_surname,contact_2_email,contact_2_office_phone,contact_2_mobile_phone,vat_number
Shell Rosebank Service Station	21 Oxford Rd	Rosebank	Johannesburg	Gauteng	2196	-26.1467	28.041999999999998	011 555 7788	rosebank@shell.co.za	Shell	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager1	manager1@shell.co.za	011 555 7789	082 700 1000	Assistant	Manager1	assistant1@shell.co.za	011 555 7790	083 700 2000	7200000001
BP Parktown Service Station	22 Jan Smuts Ave	Parktown	Johannesburg	Gauteng	2193	-26.1814	28.0419	011 555 7788	parktown@bp.co.za	BP	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager2	manager2@bp.co.za	011 555 7789	082 700 1000	Assistant	Manager2	assistant2@bp.co.za	011 555 7790	083 700 2000	7200000002
Engen Orange Grove Service Station	23 Louis Botha Ave	Orange Grove	Johannesburg	Gauteng	2192	-26.1566	28.0722	011 555 7788	orangegrove@engen.co.za	Engen	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager3	manager3@engen.co.za	011 555 7789	082 700 1000	Assistant	Manager3	assistant3@engen.co.za	011 555 7790	083 700 2000	7200000003
Sasol Linden Service Station	24 Beyers Naude Dr	Linden	Johannesburg	Gauteng	2195	-26.1326	27.998700000000003	011 555 7788	linden@sasol.co.za	Sasol	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager4	manager4@sasol.co.za	011 555 7789	082 700 1000	Assistant	Manager4	assistant4@sasol.co.za	011 555 7790	083 700 2000	7200000004
Total Randburg Service Station	25 Republic Rd	Randburg	Johannesburg	Gauteng	2125	-26.1009	27.9994	011 555 7788	randburg@total.co.za	Total	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager5	manager5@total.co.za	011 555 7789	082 700 1000	Assistant	Manager5	assistant5@total.co.za	011 555 7790	083 700 2000	7200000005
Shell Arcadia Service Station	26 Pretorius St	Arcadia	Pretoria	Gauteng	0083	-25.7461	28.216	011 555 7788	arcadia@shell.co.za	Shell	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager6	manager6@shell.co.za	011 555 7789	082 700 1000	Assistant	Manager6	assistant6@shell.co.za	011 555 7790	083 700 2000	7200000006
BP Brooklyn Service Station	27 Middel St	Brooklyn	Pretoria	Gauteng	0181	-25.7692	28.2348	011 555 7788	brooklyn@bp.co.za	BP	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager7	manager7@bp.co.za	011 555 7789	082 700 1000	Assistant	Manager7	assistant7@bp.co.za	011 555 7790	083 700 2000	7200000007
Engen Wonderboom Service Station	28 Rachel de Beer St	Wonderboom	Pretoria	Gauteng	0182	-25.6519	28.1857	011 555 7788	wonderboom@engen.co.za	Engen	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager8	manager8@engen.co.za	011 555 7789	082 700 1000	Assistant	Manager8	assistant8@engen.co.za	011 555 7790	083 700 2000	7200000008
Sasol Hatfield Service Station	29 Church St	Hatfield	Pretoria	Gauteng	0083	-25.745	28.2369	011 555 7788	hatfield@sasol.co.za	Sasol	Inland	Petrol 95|Diesel 50ppm	25.2	24.7	25	24.5	Convenience Store|ATM|Car Wash	Station	Manager9	manager9@sasol.co.za	011 555 7789	082 700 1000	Assistant	Manager9	assistant9@sasol.co.za	011 555 7790	083 700 2000	7200000009
Shell Claremont Service Station	30 Main Rd	Claremont	Cape Town	Western Cape	7708	-33.9778	18.468899999999998	021 555 7788	claremont@shell.co.za	Shell	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager10	manager10@shell.co.za	021 555 7789	082 700 1000	Assistant	Manager10	assistant10@shell.co.za	021 555 7790	083 700 2000	7200000010
BP Sea Point Service Station	31 Regent Rd	Sea Point	Cape Town	Western Cape	8005	-33.9185	18.3841	021 555 7788	seapoint@bp.co.za	BP	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager11	manager11@bp.co.za	021 555 7789	082 700 1000	Assistant	Manager11	assistant11@bp.co.za	021 555 7790	083 700 2000	7200000011
Engen Woodstock Service Station	32 Albert Rd	Woodstock	Cape Town	Western Cape	7925	-33.9258	18.4512	021 555 7788	woodstock@engen.co.za	Engen	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager12	manager12@engen.co.za	021 555 7789	082 700 1000	Assistant	Manager12	assistant12@engen.co.za	021 555 7790	083 700 2000	7200000012
Total Bellville Service Station	33 Voortrekker Rd	Bellville	Cape Town	Western Cape	7530	-33.9	18.633100000000002	021 555 7788	bellville@total.co.za	Total	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager13	manager13@total.co.za	021 555 7789	082 700 1000	Assistant	Manager13	assistant13@total.co.za	021 555 7790	083 700 2000	7200000013
Caltex Rondebosch Service Station	34 Main Rd	Rondebosch	Cape Town	Western Cape	7700	-33.9605	18.4796	021 555 7788	rondebosch@caltex.co.za	Caltex	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager14	manager14@caltex.co.za	021 555 7789	082 700 1000	Assistant	Manager14	assistant14@caltex.co.za	021 555 7790	083 700 2000	7200000014
Shell Glenwood Service Station	35 Umbilo Rd	Glenwood	Durban	KwaZulu-Natal	4001	-29.8633	30.9999	021 555 7788	glenwood@shell.co.za	Shell	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager15	manager15@shell.co.za	021 555 7789	082 700 1000	Assistant	Manager15	assistant15@shell.co.za	021 555 7790	083 700 2000	7200000015
BP Westville Service Station	36 Jan Hofmeyr Rd	Westville	Durban	KwaZulu-Natal	3629	-29.8316	30.9451	021 555 7788	westville@bp.co.za	BP	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager16	manager16@bp.co.za	021 555 7789	082 700 1000	Assistant	Manager16	assistant16@bp.co.za	021 555 7790	083 700 2000	7200000016
Engen Pinetown Service Station	37 Old Main Rd	Pinetown	Durban	KwaZulu-Natal	3610	-29.817	30.857699999999998	021 555 7788	pinetown@engen.co.za	Engen	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager17	manager17@engen.co.za	021 555 7789	082 700 1000	Assistant	Manager17	assistant17@engen.co.za	021 555 7790	083 700 2000	7200000017
Sasol Morningside Service Station	38 Florida Rd	Morningside	Durban	KwaZulu-Natal	4001	-29.8329	31.013499999999997	021 555 7788	morningside@sasol.co.za	Sasol	Coastal	Petrol 95|Diesel 50ppm	24		23.7	23.2	Convenience Store|ATM|Car Wash	Station	Manager18	manager18@sasol.co.za	021 555 7789	082 700 1000	Assistant	Manager18	assistant18@sasol.co.za	021 555 7790	083 700 2000	7200000018
